what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468318089525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468318123377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468318134937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468318140896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468318148743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1468318153735
executed,command,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.shortcut.run",1468318157214
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468318157931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468318160304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468318160517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468318161905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468318184251
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468318188267
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1468318196925
executed,command,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.shortcut.run",1468318215801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468318215816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468318217095
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468318217907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468318220435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468318220680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468318222122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468318238281
